,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return
0,2013-01-02,2016-01-04,2016-01-05,2017-01-05,0.07434485727536126,0.09679733096918809,0.15972278029247713,0.06684811413269558,0.08685840797627252,0.15755216980931974,0.06197242309352398,0.08290362299930171,0.15847812758120727
1,2013-01-03,2016-01-04,2016-01-05,2017-01-05,0.07434485727536126,0.09679733096918809,0.15972278029247713,0.06684811413269558,0.08685840797627252,0.15755216980931974,0.06591500013207924,0.08865824301366544,0.16482191212781913
2,2013-01-04,2016-01-04,2016-01-05,2017-01-05,0.07434485727536126,0.09679733096918809,0.15972278029247713,0.06684811413269558,0.08685840797627252,0.15755216980931974,0.06583681739292604,0.08754191564701685,0.1660660118550375
3,2013-01-07,2016-01-07,2016-01-08,2017-01-09,0.1015856909897751,0.13473207048353372,0.2166177134334582,0.09039266784612253,0.11797190192451787,0.21287887984774384,0.08848643022697901,0.1197362150526202,0.21878197418194045
4,2013-01-08,2016-01-08,2016-01-11,2017-01-11,0.10141609274505009,0.1346871839048647,0.21683042586124837,0.09316668657805785,0.12104892423341576,0.22055712863130508,0.09114792383121097,0.1228907284811132,0.22695176926044947
5,2013-01-09,2016-01-11,2016-01-12,2017-01-12,0.09616333706883269,0.12809488277099335,0.2043312061237148,0.08861826735886512,0.11525452581668914,0.20840561139692967,0.08204930075822975,0.10985806958444937,0.2090613321864246
6,2013-01-10,2016-01-11,2016-01-12,2017-01-12,0.09616333706883269,0.12809488277099335,0.2043312061237148,0.08861826735886512,0.11525452581668914,0.20840561139692967,0.08276156056560069,0.11178682322336769,0.2090352394584894
7,2013-01-11,2016-01-11,2016-01-12,2017-01-12,0.09616333706883269,0.12809488277099335,0.2043312061237148,0.08861826735886512,0.11525452581668914,0.20840561139692967,0.0830238282370365,0.1119449593220177,0.2062997400694396
8,2013-01-14,2016-01-14,2016-01-15,2017-01-17,0.11687008065866236,0.1634658794804481,0.24009696188456806,0.10775393195789866,0.14488369971261247,0.2477309171015653,0.1021134938479811,0.14278693368795253,0.2492994785451864
9,2013-01-15,2016-01-15,2016-01-19,2017-01-19,0.11300949225061037,0.1588964346918497,0.2320414789782008,0.10697797039278086,0.1443003915839966,0.24653555160032778,0.09695201253828241,0.13461917710365848,0.244412744014647
10,2013-01-16,2016-01-19,2016-01-20,2017-01-20,0.12531443508586676,0.17719577648708162,0.2575364155979551,0.11257621760193331,0.15091501413290254,0.26029293211815085,0.10788904387173157,0.14869414919888632,0.2703313791057999
11,2013-01-17,2016-01-19,2016-01-20,2017-01-20,0.12531443508586676,0.17719577648708162,0.2575364155979551,0.11257621760193331,0.15091501413290254,0.26029293211815085,0.10717530668525355,0.14773497510736008,0.26652999367953684
12,2013-01-18,2016-01-19,2016-01-20,2017-01-20,0.12531443508586676,0.17719577648708162,0.2575364155979551,0.11257621760193331,0.15091501413290254,0.26029293211815085,0.10627135169715979,0.14447566107258614,0.27391212129596904
13,2013-01-22,2016-01-22,2016-01-25,2017-01-25,0.12937043212567462,0.18262148961954272,0.26334480171321795,0.11804653004230654,0.15741395020577806,0.2708202648622581,0.10620691487602879,0.14501270762465396,0.2673800829780945
14,2013-01-23,2016-01-25,2016-01-26,2017-01-26,0.12185185015263894,0.17013430479525854,0.24331190769522937,0.11071754999610188,0.1468478412833557,0.2501354148436623,0.10824894978363452,0.14773431017806185,0.2701949753182954
15,2013-01-24,2016-01-25,2016-01-26,2017-01-26,0.12185185015263894,0.17013430479525854,0.24331190769522937,0.11071754999610188,0.1468478412833557,0.2501354148436623,0.10237927083536942,0.13882057535371947,0.2514519578004689
16,2013-01-25,2016-01-25,2016-01-26,2017-01-26,0.12185185015263894,0.17013430479525854,0.24331190769522937,0.11071754999610188,0.1468478412833557,0.2501354148436623,0.10421706891368515,0.1416275512163491,0.25866015306566675
17,2013-01-28,2016-01-28,2016-01-29,2017-01-30,0.11166196824073554,0.1537995783675033,0.21284866131656677,0.10386048143073445,0.13538065354701648,0.22617940829951727,0.09648567260213912,0.12852138514140696,0.236132172641828
18,2013-01-29,2016-01-29,2016-02-01,2017-02-01,0.10955815733731844,0.1511001928212093,0.20923595164082556,0.10202908890676385,0.1330586639465947,0.2222911456397225,0.09623255052095388,0.12981926720781362,0.227175692978727
19,2013-01-30,2016-02-01,2016-02-02,2017-02-02,0.12168990477292266,0.17045853573186232,0.23099395600990857,0.11441008824926989,0.1503051505187576,0.24868962091656513,0.10661279916122615,0.1448285648964007,0.2520511857139978
20,2013-01-31,2016-02-01,2016-02-02,2017-02-02,0.12168990477292266,0.17045853573186232,0.23099395600990857,0.11441008824926989,0.1503051505187576,0.24868962091656513,0.1030714299768669,0.14067415429036514,0.24309679958041122
21,2013-02-01,2016-02-01,2016-02-02,2017-02-02,0.12168990477292266,0.17045853573186232,0.23099395600990857,0.11441008824926989,0.1503051505187576,0.24868962091656513,0.10364571369379805,0.13999991044065865,0.2470777034255234
22,2013-02-04,2016-02-04,2016-02-05,2017-02-06,0.12631663410216032,0.17757063564460848,0.23742409027805356,0.12880088616274601,0.17399148137002923,0.27759750312836223,0.1192147698043058,0.16390915899873254,0.27962745394308236
23,2013-02-05,2016-02-05,2016-02-08,2017-02-08,0.13345330953543422,0.18759736119320447,0.25128080889126714,0.14530321634478494,0.20077856768016789,0.3116687548682442,0.1313111125383239,0.18716158403356026,0.3085099640437311
