Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,scaled,metric,portfolio,sharpe,sortino,return,silhouette,db,ch,min_mult,p25_mult,p50_mult,p75_mult,max_mult,mean_mult,min_preturn,p25_preturn,p50_preturn,p75_preturn,max_preturn,mean_preturn,k
2013-01-02,2016-01-04,2016-01-05,2017-01-05,0.0743448572753612,0.096797330969188,0.1597227802924771,0.0668481141326955,0.0868584079762725,0.1575521698093197,0.0619724230935239,0.0829036229993017,0.1584781275812072,False,Daily Log Returns,"['FANG', 'EXPE', 'COR', 'AVGO', 'EA', 'KR', 'PANW', 'MGM', 'NOC', 'NEM', 'GILD', 'VLO', 'DXCM', 'INCY', 'EXR', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'MHK', 'CI', 'NI', 'LUV', 'AXON', 'VRTX', 'FSLR', 'SMCI', 'AMD', 'BBY', 'NFLX']",0.009866666300925541,0.012854788679035398,0.026749507545478245,-0.0035021731452867387,1.852749694148726,8.01129409454534,-0.40238871870409754,0.10528648751210057,0.3688866276225172,0.5759124749991,17.25669533392464,0.44799814830395807,-0.07697643647813403,0.039608141716950346,0.07621877615726666,0.10817672491081562,0.15538858702250494,0.0687190721191243,30
2013-01-03,2016-01-04,2016-01-05,2017-01-05,0.0743448572753612,0.096797330969188,0.1597227802924771,0.0668481141326955,0.0868584079762725,0.1575521698093197,0.0659150001320792,0.0886582430136654,0.1648219121278191,False,Daily Log Returns,"['FANG', 'EXPE', 'AVGO', 'COR', 'NOC', 'KR', 'PANW', 'MGM', 'DXCM', 'NEM', 'EA', 'VLO', 'MHK', 'INCY', 'EXR', 'ENPH', 'NFLX', 'TSLA', 'WFC', 'GILD', 'CI', 'NI', 'LUV', 'AXON', 'VRTX', 'FSLR', 'SMCI', 'AMD', 'BBY', 'BLDR']",0.009466022618095567,0.012304130359375422,0.02566827303554287,-0.0044801305242292856,1.8562347715405858,8.029175302694789,-0.40238871870409754,0.10528648751210057,0.3688866276225172,0.5759124749991,17.25669533392464,0.44799814830395807,-0.07697643647813403,0.039608141716950346,0.07621877615726666,0.10817672491081562,0.15538858702250494,0.0687190721191243,30
2013-01-04,2016-01-04,2016-01-05,2017-01-05,0.0743448572753612,0.096797330969188,0.1597227802924771,0.0668481141326955,0.0868584079762725,0.1575521698093197,0.065836817392926,0.0875419156470168,0.1660660118550375,False,Daily Log Returns,"['FANG', 'EXPE', 'AVGO', 'COR', 'NOC', 'KR', 'PANW', 'MGM', 'DXCM', 'NEM', 'EA', 'VLO', 'MHK', 'INCY', 'EXR', 'ENPH', 'NFLX', 'TSLA', 'WFC', 'GILD', 'CI', 'NI', 'LUV', 'AXON', 'VRTX', 'FSLR', 'SMCI', 'AMD', 'BBY', 'BLDR']",0.009466022618095567,0.012304130359375422,0.02566827303554287,-0.004641125047703186,1.8558287688652892,8.031929715353463,-0.40238871870409754,0.10528648751210057,0.3688866276225172,0.5759124749991,17.25669533392464,0.44799814830395807,-0.07697643647813403,0.039608141716950346,0.07621877615726666,0.10817672491081562,0.15538858702250494,0.0687190721191243,30
2013-01-07,2016-01-07,2016-01-08,2017-01-09,0.1015856909897751,0.1347320704835337,0.2166177134334582,0.0903926678461225,0.1179719019245178,0.2128788798477438,0.088486430226979,0.1197362150526202,0.2187819741819404,False,Daily Log Returns,"['EA', 'EXPE', 'AVGO', 'GILD', 'COR', 'KR', 'DXCM', 'MGM', 'MHK', 'NOC', 'FANG', 'VRTX', 'EXR', 'WMB', 'NFLX', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'NEM', 'CI', 'NI', 'LUV', 'FSLR', 'SMCI', 'AXON', 'VLO', 'AMD', 'INCY', 'BBY']",0.03693804918922285,0.04794571752621798,0.10106261787802692,-0.00487347667857796,1.8308452347359654,8.060286401687199,-11.908001364429651,0.0398311129179672,0.1788337085389363,0.28779032587633746,0.5673855096020693,0.03436233513359639,-0.03310147117845833,0.091656014879433,0.13067413613345893,0.1613379253086729,0.2103087820929668,0.1227678022157184,30
2013-01-08,2016-01-08,2016-01-11,2017-01-11,0.10141609274505,0.1346871839048647,0.2168304258612483,0.0931666865780578,0.1210489242334157,0.220557128631305,0.0911479238312109,0.1228907284811132,0.2269517692604494,False,Daily Log Returns,"['EA', 'COR', 'EXPE', 'AVGO', 'NEM', 'NOC', 'ORLY', 'HIG', 'FANG', 'GILD', 'KR', 'DXCM', 'VLO', 'WMB', 'NFLX', 'BLDR', 'ENPH', 'TSLA', 'MGM', 'MHK', 'EXR', 'NI', 'LUV', 'FSLR', 'VRTX', 'AXON', 'SMCI', 'AMD', 'INCY', 'BBY']",0.04473397466223456,0.057538219116167355,0.11829159121104911,-0.005617403284518868,1.9187941571889797,8.06013313910598,-4.483986776134571,0.11391510629856876,0.2560111865291182,0.35242316501728393,9.41322782515511,0.22941186365058533,-0.031552760455820034,0.09056565587646866,0.13110879069683878,0.16395737924662185,0.22013345379105653,0.12220246423472168,30
2013-01-09,2016-01-11,2016-01-12,2017-01-12,0.0961633370688326,0.1280948827709933,0.2043312061237148,0.0886182673588651,0.1152545258166891,0.2084056113969296,0.0820493007582297,0.1098580695844493,0.2090613321864246,False,Daily Log Returns,"['EA', 'COR', 'NOC', 'AVGO', 'EXPE', 'DXCM', 'OKE', 'MGM', 'NEM', 'ORLY', 'FANG', 'KR', 'VLO', 'MHK', 'NFLX', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'GILD', 'EXR', 'NI', 'LUV', 'FSLR', 'VRTX', 'AXON', 'SMCI', 'AMD', 'INCY', 'BBY']",0.0435289795431175,0.05597604633394344,0.11369657992251835,-0.006337375406317459,1.9210249611979229,8.0490548641795,-0.9640492728976167,0.1012181508301036,0.2597713306261391,0.36127172502812377,554.4843648163139,2.4099208155612217,-0.039677254270294136,0.08323412303493918,0.12232513087984698,0.15413286816556485,0.20989751496714695,0.11429182106132321,30
2013-01-10,2016-01-11,2016-01-12,2017-01-12,0.0961633370688326,0.1280948827709933,0.2043312061237148,0.0886182673588651,0.1152545258166891,0.2084056113969296,0.0827615605656006,0.1117868232233676,0.2090352394584894,False,Daily Log Returns,"['EA', 'COR', 'NOC', 'AVGO', 'EXPE', 'DXCM', 'OKE', 'MGM', 'NEM', 'ORLY', 'FANG', 'KR', 'VLO', 'MHK', 'NFLX', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'GILD', 'EXR', 'NI', 'LUV', 'FSLR', 'VRTX', 'AXON', 'SMCI', 'AMD', 'INCY', 'BBY']",0.0435289795431175,0.05597604633394344,0.11369657992251835,-0.006504107758371886,1.9238251554530816,8.049123048329953,-0.9640492728976167,0.1012181508301036,0.2597713306261391,0.36127172502812377,554.4843648163139,2.4099208155612217,-0.039677254270294136,0.08323412303493918,0.12232513087984698,0.15413286816556485,0.20989751496714695,0.11429182106132321,30
2013-01-11,2016-01-11,2016-01-12,2017-01-12,0.0961633370688326,0.1280948827709933,0.2043312061237148,0.0886182673588651,0.1152545258166891,0.2084056113969296,0.0830238282370365,0.1119449593220177,0.2062997400694396,False,Daily Log Returns,"['COR', 'BBY', 'NOC', 'AVGO', 'ORLY', 'DXCM', 'PANW', 'MGM', 'NEM', 'FANG', 'EA', 'KR', 'VLO', 'MHK', 'WMB', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'EXR', 'GILD', 'NI', 'LUV', 'FSLR', 'VRTX', 'AXON', 'SMCI', 'AMD', 'INCY', 'NFLX']",0.0378973452744489,0.04962776784189827,0.10050843409669223,-0.0062693637522443346,1.9911663904007328,8.051168889515663,-0.9640492728976167,0.1012181508301036,0.2597713306261391,0.36127172502812377,554.4843648163139,2.4099208155612217,-0.039677254270294136,0.08323412303493918,0.12232513087984698,0.15413286816556485,0.20989751496714695,0.11429182106132321,30
2013-01-14,2016-01-14,2016-01-15,2017-01-17,0.1168700806586623,0.1634658794804481,0.240096961884568,0.1077539319578986,0.1448836997126124,0.2477309171015653,0.1021134938479811,0.1427869336879525,0.2492994785451864,False,Daily Log Returns,"['COR', 'EA', 'EXPE', 'NEM', 'FANG', 'AVGO', 'KR', 'MGM', 'GILD', 'NOC', 'CI', 'DXCM', 'VLO', 'MHK', 'NFLX', 'BLDR', 'ENPH', 'FSLR', 'AIZ', 'SMCI', 'EXR', 'TSLA', 'NI', 'LUV', 'WMB', 'AXON', 'VRTX', 'AMD', 'INCY', 'BBY']",0.0612469146675475,0.08641277363203578,0.1598339342964657,-0.005712394010982934,1.8347948193977799,8.117832980157205,-15.304609905340783,0.07688715447186714,0.1827690353378894,0.27170371369435437,3.2171150315623698,0.01285100075881262,-0.007862763358051538,0.11868175395430197,0.1601878372213527,0.1925888834210046,0.2509942951290472,0.15142783728174303,30
2013-01-15,2016-01-15,2016-01-19,2017-01-19,0.1130094922506103,0.1588964346918497,0.2320414789782008,0.1069779703927808,0.1443003915839966,0.2465355516003277,0.0969520125382824,0.1346191771036584,0.244412744014647,False,Daily Log Returns,"['EA', 'BBY', 'AVGO', 'NEM', 'FANG', 'DXCM', 'COR', 'MGM', 'MHK', 'NOC', 'CI', 'OKE', 'KR', 'VLO', 'EXR', 'BLDR', 'ENPH', 'TSLA', 'HIG', 'SMCI', 'ORLY', 'LUV', 'NI', 'FSLR', 'GILD', 'AXON', 'VRTX', 'AMD', 'INCY', 'NFLX']",0.0706343343483634,0.10300968501678157,0.17694044300452516,-0.0005951661953088987,2.015580695660476,8.156584748029156,-233.7077290490477,0.09038450579970404,0.20245489840325606,0.2867865002104825,2.2390521442139355,-0.89587607358194,-0.008368519592339512,0.11898861391989088,0.16103254251377785,0.19362210497738636,0.2503565827839671,0.1523856246067405,30
