,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return
0,2013-01-02,2018-01-02,2018-01-03,2019-01-03,-0.032720935362254726,-0.04031432651109878,-0.08973589567484185,-0.0371188337641987,-0.04640681985955971,-0.09161616682660897,-0.0285509671884224,-0.036491056224710536,-0.07524614874814266
1,2013-01-03,2018-01-03,2018-01-04,2019-01-04,-0.023207720426382663,-0.029039039101290506,-0.0654820392497017,-0.025641190633149246,-0.03261908382839106,-0.06530955874958133,-0.020965108608028995,-0.026933201281456504,-0.057111860718608486
2,2013-01-04,2018-01-04,2018-01-05,2019-01-07,-0.02480097848656128,-0.03100419846827609,-0.06975524428279846,-0.02504628195355688,-0.031877357145694,-0.06387296561323395,-0.021064697969547616,-0.02764091505584134,-0.05803951428474585
3,2013-01-07,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,-0.015502238170390214,-0.020265247211624832,-0.04292473814566875
4,2013-01-08,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,-0.018152323193176886,-0.023729204438563693,-0.04959998299384181
5,2013-01-09,2018-01-09,2018-01-10,2019-01-10,-0.01895953305193116,-0.023721476673042433,-0.053892699165716824,-0.016336644194362218,-0.020767710085572405,-0.04225019293399779,-0.01345247622071397,-0.017833457363997374,-0.03846998756158611
6,2013-01-10,2018-01-10,2018-01-11,2019-01-11,-0.02182932780263091,-0.027294466538254295,-0.06173207776047249,-0.01893122984912415,-0.02403892430050232,-0.04874050660149521,-0.015385685964238352,-0.019969740213171435,-0.04232192475483997
7,2013-01-11,2018-01-11,2018-01-12,2019-01-14,-0.026135886935624818,-0.03273526206655016,-0.07337657279982875,-0.023521656554635534,-0.02997656725959882,-0.06018227143837981,-0.020579714834122857,-0.026870061638534046,-0.05740281080966259
8,2013-01-14,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014205448268169031,-0.018522883847505344,-0.03874641340643172
9,2013-01-15,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014651475854663127,-0.019163834515090305,-0.040898367923680234
10,2013-01-16,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014398684793807128,-0.01889366245034865,-0.03988137038041141
11,2013-01-17,2018-01-17,2018-01-18,2019-01-18,-0.017662888732993386,-0.02205369820342359,-0.05040627592922186,-0.01339190216868429,-0.017003174076586677,-0.03490145267624617,-0.009932397855997326,-0.01302037469333631,-0.02757286372906062
12,2013-01-18,2018-01-18,2018-01-19,2019-01-22,-0.022521533856562765,-0.028286781805739583,-0.06394822395344094,-0.021357734623839747,-0.027245428389733112,-0.05519177333061635,-0.012595310881326361,-0.01662061435257908,-0.03573443211731809
13,2013-01-22,2018-01-22,2018-01-23,2019-01-23,-0.021990419705452232,-0.02767840988548349,-0.062386144195184255,-0.02287816195067312,-0.029234759364832975,-0.05887271399672381,-0.015680024682926345,-0.02044452111863245,-0.04350664978129428
14,2013-01-23,2018-01-23,2018-01-24,2019-01-24,-0.02284000138932282,-0.02877037751299097,-0.06471397212353021,-0.021250903194307048,-0.027165711445211765,-0.054822523240517285,-0.01961331715161126,-0.02575202048887101,-0.054154071619738675
15,2013-01-24,2018-01-24,2018-01-25,2019-01-25,-0.0221070083301323,-0.02785862164293271,-0.062728870367942,-0.016839819676053695,-0.02149980984756378,-0.04374892786009743,-0.01308628747314204,-0.017117369357551652,-0.036122245728285866
16,2013-01-25,2018-01-25,2018-01-26,2019-01-28,-0.027888916403986087,-0.035290250239143235,-0.07846537610447384,-0.020679452305475993,-0.026432439685760836,-0.05340145166243879,-0.0158352487965247,-0.0207067192955636,-0.04362834493144974
17,2013-01-28,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,-0.006278784330744881,-0.008238470676956018,-0.01712432838124813
18,2013-01-29,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,-0.009878802955223965,-0.012916464643849853,-0.02842480468407366
19,2013-01-30,2018-01-30,2018-01-31,2019-01-31,-0.015325982379709703,-0.019291302465376376,-0.04396739945541274,-0.004460342433611366,-0.005658063269923133,-0.011790783603504145,-0.0014775583921078739,-0.00215710105645824,-0.004584991194168071
20,2013-01-31,2018-01-31,2018-02-01,2019-02-01,-0.014936532506710053,-0.018802452183878514,-0.04287748527029007,-0.0023369985106423785,-0.0029573721677939716,-0.006195249389923527,-0.00019468274744041892,-0.0003593094728430651,-6.690604268450681e-05
21,2013-02-01,2018-02-01,2018-02-02,2019-02-04,-0.0038156137279131276,-0.004807333328200037,-0.011033745851678906,0.007259710141914733,0.009158728865886647,0.019377938675482913,0.008773800569930927,0.011096762638939113,0.02528264985294375
22,2013-02-04,2018-02-05,2018-02-06,2019-02-06,0.006810016798641985,0.008896928429893071,0.019168131804896116,0.01770601664475484,0.022950694337590016,0.04650866093252238,0.01880489536464383,0.024462736038798095,0.0527656534891222
23,2013-02-05,2018-02-05,2018-02-06,2019-02-06,0.006810016798641985,0.008896928429893071,0.019168131804896116,0.01770601664475484,0.022950694337590016,0.04650866093252238,0.02132798222938134,0.028016674294171186,0.060925383297666225
24,2013-02-06,2018-02-06,2018-02-07,2019-02-07,0.003952478352241783,0.005189238673289417,0.011094516882372025,0.017427669842102828,0.022603374427517677,0.045765324430069046,0.017187074303377622,0.022352184710083288,0.04819731301755802
25,2013-02-07,2018-02-07,2018-02-08,2019-02-08,0.018787641273114247,0.025739571341678938,0.052214797689299666,0.034404357611238195,0.04647363253618845,0.08946747455075615,0.0338531091786001,0.04566136624059428,0.09369069966560567
26,2013-02-08,2018-02-08,2018-02-09,2019-02-11,0.012967365606623477,0.0177408726410516,0.03564187237566166,0.03099484684370653,0.04176320545218519,0.08004622473189908,0.03025540933590744,0.04085136772156327,0.08458997420117528
27,2013-02-11,2018-02-12,2018-02-13,2019-02-13,0.013334684671299661,0.018228746215687527,0.03663976677068876,0.030520255497443284,0.04111797800347879,0.07876207569569556,0.03083164665851755,0.041484585884334964,0.08503793605280562
28,2013-02-12,2018-02-12,2018-02-13,2019-02-13,0.013334684671299661,0.018228746215687527,0.03663976677068876,0.030520255497443284,0.04111797800347879,0.07876207569569556,0.028366906273503124,0.038194978657702966,0.0783823822548473
29,2013-02-13,2018-02-13,2018-02-14,2019-02-14,0.00805029741626169,0.011022858308311607,0.021929443621014438,0.024704751268384336,0.03312646229594025,0.06298314120566248,0.024483594859987825,0.03271776792631659,0.06827771367634183
30,2013-02-14,2018-02-14,2018-02-15,2019-02-15,0.009897126466934976,0.01358641048436435,0.027098049856505543,0.024675424256780987,0.03308599162664152,0.06290382368630804,0.027450406662956516,0.03657553442551476,0.07515858025918475
31,2013-02-15,2018-02-15,2018-02-16,2019-02-19,0.009733434854009442,0.01336161345592406,0.026643772774271525,0.023095420300172788,0.03095187514239773,0.05874538415635146,0.025147165059153376,0.03341579546043883,0.06894581935756998
32,2013-02-19,2018-02-20,2018-02-21,2019-02-21,0.015426408522866857,0.021021855749933233,0.042457493870537016,0.026227325021524722,0.034952344082261076,0.06692205240903197,0.027137957132899876,0.036077285764597185,0.07515590855591282
33,2013-02-20,2018-02-20,2018-02-21,2019-02-21,0.015426408522866857,0.021021855749933233,0.042457493870537016,0.026227325021524722,0.034952344082261076,0.06692205240903197,0.029999920156407997,0.03992463791678763,0.08319603867266791
34,2013-02-21,2018-02-21,2018-02-22,2019-02-22,0.01556031550983191,0.021206111932931076,0.042837492831037834,0.029882783147891598,0.039819881941301205,0.07668361672011507,0.027225553560195122,0.03633819842431721,0.07523149907811746
35,2013-02-22,2018-02-22,2018-02-23,2019-02-25,0.01132351154782866,0.015383144852997284,0.030895270094295615,0.02462236626595901,0.03276002797352472,0.06259755043417435,0.02401134742370776,0.03206322239063709,0.06526680675954377
36,2013-02-25,2018-02-26,2018-02-27,2019-02-27,0.00838367274949981,0.011316074631169034,0.022634010085369374,0.027594466776067784,0.03650711810314189,0.07005056104239024,0.029795104630082222,0.04002338928021529,0.08191649324254291
37,2013-02-26,2018-02-26,2018-02-27,2019-02-27,0.00838367274949981,0.011316074631169034,0.022634010085369374,0.027594466776067784,0.03650711810314189,0.07005056104239024,0.029890463042896574,0.03979787856828622,0.08059824477563497
38,2013-02-27,2018-02-27,2018-02-28,2019-02-28,0.013093735523515247,0.017630869478000244,0.03543064935875676,0.028210466072379495,0.03729361425197415,0.07163938726795241,0.030072252454193257,0.04025540997126271,0.08162824723244516
39,2013-02-28,2018-02-28,2018-03-01,2019-03-01,0.02116312997079457,0.028395126693963893,0.05759441540253264,0.03507355788540542,0.046114110827722404,0.08970358817388059,0.04203236174218351,0.05555783007312961,0.11527196922910568
40,2013-03-01,2018-03-01,2018-03-02,2019-03-04,0.01922093591528418,0.025860742188292724,0.052228652761769086,0.030387894459421555,0.04013026505889447,0.0772806276271214,0.029013101677944735,0.03860421480640708,0.07927348068332368
