Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,scaled,metric,portfolio,sharpe,sortino,return,silhouette,db,ch,min_mult,p25_mult,p50_mult,p75_mult,max_mult,mean_mult,min_preturn,p25_preturn,p50_preturn,p75_preturn,max_preturn,mean_preturn,k
2013-01-02,2020-01-02,2020-01-03,2021-01-04,0.0091680194697425,0.0101495457070873,0.055492103264846,0.0286351953602161,0.0306515836980341,0.1770112881969164,0.0304367970849892,0.0337323722300059,0.1910680948325206,False,Correlation,"['NEM', 'NVDA', 'LMT', 'SYY', 'NFLX', 'NRG', 'CTAS', 'AES', 'KDP', 'UNH', 'AMT', 'ORLY', 'NVR', 'BLDR', 'GL', 'EXR', 'NEE', 'ENPH', 'O', 'WM', 'MPWR', 'AMCR', 'PSX', 'FANG', 'TDY', 'MKTX', 'EIX', 'ADM', 'BR', 'PLD']",0.01879215633208494,0.020986475812425114,0.13923009361110786,0.1534937830552235,1.3327878042491264,62.47045648762856,-0.502805811747619,0.3619269493647444,1.1299240966623356,2.544626675869079,209.73113767919966,4.200836040278632,-0.3315185482193228,-0.05579772713102384,0.02233230146933452,0.06819498646574984,0.1875439064456586,0.002805293107516725,30
2013-01-03,2020-01-03,2020-01-06,2021-01-06,0.0120960743793458,0.0133752377110165,0.074068610302943,0.031835449089247,0.0340356956708414,0.1992427569466249,0.0318627589407327,0.0355913096499811,0.2058025633563196,False,Correlation,"['NEM', 'LMT', 'CTAS', 'SYY', 'NRG', 'GPN', 'NFLX', 'GRMN', 'UNH', 'ORLY', 'CMG', 'NVR', 'FANG', 'EXR', 'AES', 'KDP', 'O', 'WM', 'TDY', 'AMCR', 'GL', 'PSX', 'AMT', 'ADM', 'MPWR', 'MKTX', 'EIX', 'LUV', 'NEE', 'PLD']",0.015003370043294826,0.016839835095856955,0.10982152858158907,0.15781554702474945,1.3402661397519338,61.92475230836986,-0.03323393981819748,0.4151728123300529,1.1296687164921313,2.504618266425942,125.46648861464021,3.0618438378380874,-0.3323126832629817,-0.05610443189393896,0.02201262938065603,0.06952412842699822,0.1911251795835302,0.003052538417584247,30
2013-01-04,2020-01-06,2020-01-07,2021-01-07,0.0139610083806508,0.0153900311289007,0.0859739263363517,0.0342090556767306,0.0365103883165587,0.2157351716696882,0.032362010889838,0.0358438686958333,0.2114759054191113,False,Correlation,"['NEM', 'GPN', 'CTAS', 'SYY', 'LMT', 'NRG', 'TDY', 'GRMN', 'UNH', 'NFLX', 'AMT', 'ORLY', 'NVR', 'EXR', 'FANG', 'AES', 'KDP', 'ENPH', 'O', 'WM', 'GL', 'AMCR', 'PSX', 'NEE', 'ADM', 'MPWR', 'MKTX', 'EIX', 'LUV', 'PLD']",0.01916985649012883,0.021425082006473684,0.14276139190860618,0.15781453711256924,1.308515265531826,61.71554952063736,-0.33400737281418197,0.33338559546665675,1.1376303221710196,2.3308472471991064,867.2778537781023,6.50149894284361,-0.3317809778350744,-0.056168398058393146,0.02485127557743528,0.07168909574603874,0.20701149938639515,0.004662921283762941,30
2013-01-07,2020-01-07,2020-01-08,2021-01-08,0.0133187628720504,0.0146806605814245,0.0818533138064476,0.0342261562759092,0.0365287265832816,0.2158544642009224,0.0342126734319133,0.0378482125301547,0.2231974990919865,False,Correlation,"['CTAS', 'NFLX', 'LMT', 'UNH', 'GPN', 'NRG', 'SYY', 'KDP', 'TDY', 'WM', 'AMT', 'ORLY', 'NVR', 'NVDA', 'GL', 'AES', 'O', 'ENPH', 'NEE', 'EXR', 'PSX', 'AMCR', 'PCG', 'FANG', 'ADM', 'MKTX', 'EIX', 'PLD', 'LUV', 'NEM']",0.014949590420446681,0.0167610346438329,0.1101642396570542,0.16197406996588143,1.2419443707698121,61.26986502678927,-0.24540858006018587,0.3956578775770417,1.095251301311253,2.543949503917028,44.572852736268686,2.5045729839428867,-0.334284611249106,-0.05889210516564821,0.021011438917838753,0.0684268208026443,0.206722085263187,0.001728874798821961,30
2013-01-08,2020-01-08,2020-01-09,2021-01-11,0.011590888425985,0.0128105741247113,0.0708566536756911,0.0328407292019701,0.0351476999241239,0.2062621832428969,0.0340647736100385,0.0379607307414853,0.2231030967867931,False,Correlation,"['NEM', 'SYY', 'CTAS', 'FANG', 'NRG', 'ORLY', 'NVDA', 'ARE', 'CME', 'UNH', 'NFLX', 'KDP', 'NVR', 'HD', 'GL', 'AES', 'PSX', 'ENPH', 'EXR', 'WM', 'AVGO', 'TDY', 'AMT', 'AMCR', 'NEE', 'JNJ', 'EIX', 'MKTX', 'LMT', 'LUV']",0.016398882938833695,0.01814818941397644,0.11871569113038165,0.16367425055216525,1.346259272292175,63.476543317418226,0.05543074094067,0.4129810745516758,1.1921126438335676,2.608655482499744,25.116443060574163,2.2085083018346796,-0.3379656998004871,-0.0636919439500997,0.015548572365816676,0.0634730132278099,0.20004948774205147,-0.003016755624542694,30
2013-01-09,2020-01-09,2020-01-10,2021-01-11,0.0123966044631127,0.0136825209985543,0.075802712740475,0.0331231553887655,0.0354324383586618,0.2077554201849896,0.0342384050726165,0.0380714969558835,0.2181916058541607,False,Correlation,"['NVDA', 'SYY', 'NRG', 'LMT', 'UNH', 'ORLY', 'NFLX', 'ARE', 'ADM', 'WM', 'NVR', 'FANG', 'MKTX', 'CTAS', 'GL', 'AES', 'KDP', 'ENPH', 'EXR', 'PCG', 'MPWR', 'PSX', 'TDY', 'AMT', 'NEE', 'AMCR', 'EIX', 'BLDR', 'BR', 'NEM']",0.019388104134678896,0.021774014361668224,0.14368440223393458,0.1546398357898662,1.3012377923514338,62.42097217615525,0.03939249902822605,0.37028876664984944,1.1176297451096748,2.4419898348575177,205.13658448431138,2.7907583707641175,-0.3371172097062598,-0.06289649024667353,0.01719845405862725,0.06532893612023408,0.20158751998996483,-0.0017458820555344837,30
2013-01-10,2020-01-10,2020-01-13,2021-01-13,0.0121663319101354,0.0134298449682076,0.0744946254867263,0.0315109876537523,0.0337391862399576,0.1971147334600299,0.0306645474410683,0.0340266144138439,0.1970467380004244,False,Correlation,"['NVDA', 'SYY', 'LMT', 'CTAS', 'NRG', 'TSLA', 'DPZ', 'ARE', 'KDP', 'NVR', 'ORLY', 'UNH', 'FANG', 'BLDR', 'AES', 'NEE', 'ADM', 'WM', 'EXR', 'MPWR', 'PSX', 'TDY', 'PCG', 'AMCR', 'AMT', 'MKTX', 'EIX', 'GL', 'BR', 'NEM']",0.018542030919980475,0.02084117430446467,0.13771376205377953,0.15573687773094033,1.3552145849268697,63.02931671469942,-1.1474888682922126,0.2993032196728396,0.9657777160899215,2.312156182523909,38.89676696444224,1.8795682542772865,-0.34145069674952877,-0.07045646588692184,0.010894723014312362,0.06329109178382321,0.19373233951843263,-0.007254355792199575,30
2013-01-11,2020-01-13,2020-01-14,2021-01-14,0.0115988228795583,0.0128379967325497,0.070900933387082,0.0310185695677716,0.0332425403648283,0.1937646351324411,0.0308200791435967,0.0342127874506455,0.1978451849513195,False,Correlation,"['NVDA', 'LMT', 'SYY', 'BLDR', 'NRG', 'CTAS', 'BR', 'ADM', 'TSLA', 'WM', 'ORLY', 'ARE', 'DPZ', 'FANG', 'AES', 'NEE', 'KDP', 'EXR', 'NVR', 'PCG', 'PSX', 'AMCR', 'TDY', 'AMT', 'MPWR', 'UNH', 'MKTX', 'EIX', 'GL', 'NEM']",0.017418653625050913,0.01964723808931772,0.1288716762368544,0.15818406040212002,1.3550571904048831,63.17330116261923,-0.1090058713898846,0.32900955297290146,1.0130905140156605,2.3654768517295635,26.87595842605496,1.9135600402420851,-0.3413410770638306,-0.07007361993565353,0.0110629928177482,0.06346808329336046,0.19393104379648723,-0.006140591810678614,30
2013-01-14,2020-01-14,2020-01-15,2021-01-15,0.010097568021139,0.0112163392563838,0.0614545469958468,0.0295652970360979,0.0317928441144364,0.1839114070537686,0.0292681409100248,0.0324470906142784,0.1866162302056669,False,Correlation,"['NVDA', 'LMT', 'SYY', 'BLDR', 'NRG', 'CTAS', 'BR', 'ADM', 'TSLA', 'WM', 'ORLY', 'ARE', 'DPZ', 'FANG', 'AES', 'NEE', 'KDP', 'EXR', 'NVR', 'PCG', 'PSX', 'AMCR', 'TDY', 'AMT', 'MPWR', 'UNH', 'MKTX', 'EIX', 'GL', 'NEM']",0.015663649149765348,0.017658312278600503,0.11510373354715382,0.158129600106777,1.3550948344815683,63.15178407541388,-0.2130138444877087,0.30479002648436754,0.9751886401971684,2.538593928787286,57.74073943702371,2.0874613130699466,-0.34398844395641154,-0.07381129997822482,0.007631295597147685,0.06315990109103128,0.18913224215985053,-0.009433029031255617,30
2013-01-15,2020-01-15,2020-01-16,2021-01-19,0.0091849193407787,0.0102000663884062,0.0557341434810503,0.0296123891753581,0.0318439537736208,0.1842327621415857,0.0297615562788699,0.0329857579853175,0.1921118031897302,False,Correlation,"['NVDA', 'LMT', 'SYY', 'BLDR', 'NRG', 'CTAS', 'BR', 'ADM', 'TSLA', 'WM', 'ORLY', 'ARE', 'DPZ', 'FANG', 'AES', 'NEE', 'KDP', 'EXR', 'NVR', 'PCG', 'PSX', 'AMCR', 'TDY', 'AMT', 'MPWR', 'UNH', 'MKTX', 'EIX', 'GL', 'NEM']",0.01837792110125948,0.020684044864352793,0.13646188292042805,0.1580086383816021,1.354849005388839,63.15356469701824,-0.21892757219542316,0.33184789499926626,0.9902611285724497,2.4963832806806088,90.28805949759918,2.5122182267030806,-0.3487235635731608,-0.07930414949408351,0.000696564423542858,0.05550628959572642,0.18054903450918225,-0.015679664482960456,30
