,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,Scaled,k,KMeans_Sharpe,KMeans_Sortino,KMeans_Return
0,2013-01-02,2018-01-02,2018-01-03,2019-01-03,-0.032720935362254726,-0.04031432651109878,-0.08973589567484185,-0.0371188337641987,-0.04640681985955971,-0.09161616682660897,-0.0285509671884224,-0.036491056224710536,-0.07524614874814266,False,30,-0.01849127081420068,-0.0228554761090753,-0.056860398563011186
1,2013-01-03,2018-01-03,2018-01-04,2019-01-04,-0.023207720426382663,-0.029039039101290506,-0.0654820392497017,-0.025641190633149246,-0.03261908382839106,-0.06530955874958133,-0.020965108608028995,-0.026933201281456504,-0.057111860718608486,False,30,-0.0013737903941774975,-0.0017816359650980064,-0.004806874723743728
2,2013-01-04,2018-01-04,2018-01-05,2019-01-07,-0.02480097848656128,-0.03100419846827609,-0.06975524428279846,-0.02504628195355688,-0.031877357145694,-0.06387296561323395,-0.021064697969547616,-0.02764091505584134,-0.05803951428474585,False,30,0.002288994772180699,0.002906494426134107,0.00757726148431279
3,2013-01-07,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,-0.015502238170390214,-0.020265247211624832,-0.04292473814566875,False,30,0.007219947049324346,0.009157153239967259,0.024125619637158435
4,2013-01-08,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,-0.018152323193176886,-0.023729204438563693,-0.04959998299384181,False,30,0.007219947049324346,0.009157153239967259,0.024125619637158435
5,2013-01-09,2018-01-09,2018-01-10,2019-01-10,-0.01895953305193116,-0.023721476673042433,-0.053892699165716824,-0.016336644194362218,-0.020767710085572405,-0.04225019293399779,-0.01345247622071397,-0.017833457363997374,-0.03846998756158611,False,30,0.00920074001249244,0.011672497086742574,0.030859526900495392
6,2013-01-10,2018-01-10,2018-01-11,2019-01-11,-0.02182932780263091,-0.027294466538254295,-0.06173207776047249,-0.01893122984912415,-0.02403892430050232,-0.04874050660149521,-0.015385685964238352,-0.019969740213171435,-0.04232192475483997,False,30,0.00720950808097759,0.009151848489240777,0.02410942628001878
7,2013-01-11,2018-01-11,2018-01-12,2019-01-14,-0.026135886935624818,-0.03273526206655016,-0.07337657279982875,-0.023521656554635534,-0.02997656725959882,-0.06018227143837981,-0.020579714834122857,-0.026870061638534046,-0.05740281080966259,False,30,0.012469223208496475,0.015935820323455228,0.04301300923110153
8,2013-01-14,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014205448268169031,-0.018522883847505344,-0.03874641340643172,False,30,0.02365018825145486,0.030986559634059146,0.08539033045712426
9,2013-01-15,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014651475854663127,-0.019163834515090305,-0.040898367923680234,False,30,0.018591567519384324,0.024240126884068108,0.06522218536413978
