,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return
0,2013-01-02,2020-01-02,2020-01-03,2021-01-04,0.009168019469742559,0.01014954570708737,0.055492103264846014,0.028635195360216154,0.030651583698034186,0.1770112881969164,0.03043679708498924,0.03373237223000595,0.1910680948325206
1,2013-01-03,2020-01-03,2020-01-06,2021-01-06,0.012096074379345848,0.013375237711016546,0.074068610302943,0.03183544908924709,0.034035695670841436,0.1992427569466249,0.031862758940732754,0.035591309649981175,0.2058025633563196
2,2013-01-04,2020-01-06,2020-01-07,2021-01-07,0.013961008380650853,0.015390031128900783,0.08597392633635179,0.034209055676730646,0.03651038831655878,0.21573517166968825,0.03236201088983809,0.03584386869583336,0.2114759054191113
3,2013-01-07,2020-01-07,2020-01-08,2021-01-08,0.013318762872050478,0.014680660581424521,0.08185331380644766,0.03422615627590924,0.03652872658328168,0.21585446420092247,0.03421267343191339,0.037848212530154794,0.22319749909198652
4,2013-01-08,2020-01-08,2020-01-09,2021-01-11,0.011590888425985064,0.012810574124711347,0.0708566536756911,0.03284072920197014,0.03514769992412394,0.20626218324289697,0.034064773610038526,0.03796073074148535,0.2231030967867931
5,2013-01-09,2020-01-09,2020-01-10,2021-01-11,0.012396604463112719,0.013682520998554392,0.07580271274047502,0.03312315538876557,0.03543243835866183,0.20775542018498963,0.03423840507261651,0.03807149695588355,0.21819160585416073
6,2013-01-10,2020-01-10,2020-01-13,2021-01-13,0.01216633191013548,0.01342984496820762,0.07449462548672638,0.03151098765375238,0.03373918623995765,0.19711473346002992,0.030664547441068387,0.03402661441384398,0.19704673800042444
7,2013-01-11,2020-01-13,2020-01-14,2021-01-14,0.011598822879558329,0.012837996732549716,0.070900933387082,0.03101856956777166,0.03324254036482833,0.19376463513244113,0.030820079143596746,0.03421278745064558,0.19784518495131956
8,2013-01-14,2020-01-14,2020-01-15,2021-01-15,0.010097568021139062,0.01121633925638384,0.0614545469958468,0.029565297036097966,0.03179284411443641,0.18391140705376863,0.029268140910024814,0.03244709061427846,0.18661623020566695
9,2013-01-15,2020-01-15,2020-01-16,2021-01-19,0.009184919340778778,0.010200066388406261,0.05573414348105036,0.029612389175358172,0.03184395377362081,0.18423276214158574,0.02976155627886993,0.032985757985317575,0.1921118031897302
10,2013-01-16,2020-01-16,2020-01-17,2021-01-19,0.008911133297981152,0.00991563193196331,0.05391899110801401,0.029236445640678243,0.03150184270898422,0.18130206787582948,0.03049385962932961,0.03395633934209537,0.19344794486743172
11,2013-01-17,2020-01-17,2020-01-21,2021-01-21,0.011110657916648543,0.012325401736391817,0.06781641505844248,0.031262397298971886,0.033629456105369125,0.19553753292505185,0.030195737114976938,0.033686765555350925,0.1975917989154116
12,2013-01-18,2020-01-21,2020-01-22,2021-01-22,0.010190821507743216,0.011321476650228446,0.062039821004231305,0.030333485859788387,0.03274398773930653,0.18923216216129607,0.030586746686380884,0.03426601787854522,0.1979887508322379
13,2013-01-22,2020-01-22,2020-01-23,2021-01-25,0.01014061801574861,0.011266686308003917,0.06172512382144742,0.02929824562350842,0.03170656634500429,0.18221270704612955,0.026894474430672895,0.030246143720803934,0.17127812622952152
14,2013-01-23,2020-01-23,2020-01-24,2021-01-25,0.011156136587015917,0.012374658595515649,0.06796439633593308,0.03102913315261553,0.033489307608058426,0.1934599228304797,0.03073319631764522,0.034425915379045206,0.19716633472793832
15,2013-01-24,2020-01-24,2020-01-27,2021-01-27,0.010168717436484122,0.011286886382529041,0.061935151362084225,0.027150244813401173,0.02938725676988492,0.16820454933913268,0.026161177142637895,0.029331635381371138,0.16678718243863647
16,2013-01-25,2020-01-27,2020-01-28,2021-01-28,0.010729126267533418,0.011911207755085734,0.06547086348323916,0.028136401003332385,0.030470964669045062,0.17492129065765785,0.027135828754344313,0.03054604482416341,0.17403977978771476
17,2013-01-28,2020-01-28,2020-01-29,2021-01-29,0.007182723826160373,0.008019400566822073,0.04343810150571933,0.025768921750912107,0.027978764869209943,0.15929903471764428,0.024863475328399907,0.027965065546672333,0.1575656062552946
18,2013-01-29,2020-01-29,2020-01-30,2021-02-01,0.007735375153972937,0.008637618255965778,0.04686406696574107,0.028252673308487266,0.030706194399990193,0.17612474037958725,0.026701070981606578,0.030048700266825937,0.17198729404923976
19,2013-01-30,2020-01-30,2020-01-31,2021-02-01,0.011345310467936997,0.012621695553712156,0.06921994731904219,0.031848636232328774,0.034470353388015934,0.19986825669349015,0.030464337945887907,0.03410758687650518,0.19618788652916966
20,2013-01-31,2020-01-31,2020-02-03,2021-02-03,0.013295305717508813,0.014773113881362298,0.081824104377897,0.03234091690077256,0.035081834613793876,0.20387269458555723,0.03243978046392599,0.03650460147085191,0.21162801578473578
21,2013-02-01,2020-02-03,2020-02-04,2021-02-04,0.012707343831328493,0.014115418548747838,0.07804281187161036,0.03228455874519741,0.0350195803814232,0.20347637854772194,0.030969762489686165,0.0349675483190097,0.20075419902409197
22,2013-02-04,2020-02-04,2020-02-05,2021-02-05,0.010406517854971221,0.011548701184172956,0.06341197506287126,0.031396234527176395,0.03404604684725986,0.1972957222723861,0.03116753314462444,0.03521468919795895,0.20272104744739805
23,2013-02-05,2020-02-05,2020-02-06,2021-02-08,0.011177371124944128,0.012406246374539565,0.06827794316906789,0.03266594995680855,0.035431522846872,0.2061012680001769,0.03225379393096156,0.03618644561790067,0.20993298900812202
24,2013-02-06,2020-02-06,2020-02-07,2021-02-08,0.012811682535284639,0.014185940143943317,0.07845543282651538,0.03387179728576373,0.03666643588841316,0.2139607671900352,0.033643158391460266,0.037835191946295595,0.22190542417342266
25,2013-02-07,2020-02-07,2020-02-10,2021-02-10,0.012057240050425452,0.013351479076668326,0.07381199343657378,0.03302074030739468,0.03567043962738798,0.20848818804217112,0.03476948045696609,0.03903536809745856,0.22810304738552634
26,2013-02-08,2020-02-10,2020-02-11,2021-02-11,0.012021761577363073,0.013313036741363492,0.07358704628030607,0.03257767446352464,0.035188970020176485,0.20540315785789742,0.0336450102538214,0.03785113078603802,0.21887270773137726
27,2013-02-11,2020-02-11,2020-02-12,2021-02-12,0.010590698768604195,0.01172475051465013,0.06453092520736664,0.03217210762438825,0.034747495238265445,0.2025813174811726,0.032275959522643935,0.03610991307224839,0.20966410735091956
28,2013-02-12,2020-02-12,2020-02-13,2021-02-16,0.01167332872233828,0.012881097468678555,0.07135293119991822,0.031344054645237304,0.03395445459196239,0.1968952472573957,0.029816429266423566,0.03366939461734793,0.19532836458432684
29,2013-02-13,2020-02-13,2020-02-14,2021-02-16,0.011842013766302513,0.013062752627202906,0.07227240405593557,0.030823611146430313,0.03345622130293052,0.19290754234449867,0.028643007884776174,0.03214200972109145,0.18796529463165812
30,2013-02-14,2020-02-14,2020-02-18,2021-02-18,0.012619589987955418,0.013886665145085141,0.07735138670508572,0.030618231034700603,0.03324370063257535,0.19192365994937916,0.029999185626950156,0.03371914231641357,0.1934626536791984
31,2013-02-15,2020-02-18,2020-02-19,2021-02-19,0.011955571309625691,0.013155333529219732,0.07313237266849597,0.03059327202493036,0.03321648780871354,0.1917523714768931,0.03097475725639874,0.034965927555976446,0.20030097890865053
32,2013-02-19,2020-02-19,2020-02-20,2021-02-22,0.012844375982346069,0.01408654698515502,0.07877174958541185,0.029133958807023835,0.0317042107665598,0.1818890219484456,0.027418899247911105,0.031194780767477694,0.1770603289648479
33,2013-02-20,2020-02-20,2020-02-21,2021-02-22,0.014200248815190303,0.015539845342992303,0.08723935965460788,0.030788009435704315,0.033418268224607355,0.19266348469043312,0.030717048342372134,0.034566297211593905,0.1969732954809601
34,2013-02-21,2020-02-21,2020-02-24,2021-02-24,0.022758714307970645,0.02474175954525156,0.1430952791750169,0.03821073029771712,0.04115485348991206,0.24412576895977178,0.037099747247282565,0.04137899554820673,0.2459086174552025
35,2013-02-22,2020-02-24,2020-02-25,2021-02-25,0.025257303832568512,0.027458762585128832,0.15954333498537682,0.03916039741743008,0.04219085244020608,0.25055941149840516,0.03751015176981761,0.04202155737873621,0.2482833710188949
36,2013-02-25,2020-02-25,2020-02-26,2021-02-26,0.02344888696965068,0.025543579370719695,0.14744564777168073,0.04006038304471485,0.043095511135347875,0.2569548122004371,0.03854519517615027,0.04305421001975271,0.25533494063869466
37,2013-02-26,2020-02-26,2020-02-27,2021-03-01,0.0346700561466991,0.03769075539590768,0.223889067441247,0.05042350807121817,0.05403840290890995,0.33198515180618904,0.049404439789594815,0.05482139925463638,0.3336185239094387
38,2013-02-27,2020-02-27,2020-02-28,2021-03-01,0.037169798730127275,0.040268475881423196,0.2410981835556411,0.05250343942619014,0.0560882182985186,0.3468013159923248,0.05059922449496715,0.05609989005608514,0.34726501281662386
39,2013-02-28,2020-02-28,2020-03-02,2021-03-02,0.028084659607605006,0.03026083576851634,0.17556615296845401,0.044852543514287475,0.04783799474675239,0.2878380812615771,0.04229777639339545,0.046951854328115085,0.28041003346284393
40,2013-03-01,2020-03-02,2020-03-03,2021-03-03,0.03271271939400201,0.03515991646735067,0.20652833964620487,0.04541622626348094,0.04842701722522263,0.2917808134427923,0.0441292660100238,0.04879125685398975,0.29289108664481583
41,2013-03-04,2020-03-04,2020-03-05,2021-03-05,0.03296344814555293,0.03520881777028295,0.205771755023424,0.04499482833988808,0.04775423097279314,0.286029994551298,0.04553959656541438,0.05018093800646709,0.2997985105716726
42,2013-03-05,2020-03-05,2020-03-06,2021-03-08,0.036410745960377765,0.0387145127862411,0.22956546770021702,0.04809301938889181,0.0508681394795666,0.3079841767644392,0.04756260756638763,0.05220399653981692,0.319523835921852
43,2013-03-06,2020-03-06,2020-03-09,2021-03-09,0.05225920040039454,0.0565037579981076,0.3346490363930656,0.06454259840957641,0.06907497406686522,0.4220113858937483,0.06381867684969002,0.07193833182024602,0.42539675479757166
44,2013-03-07,2020-03-09,2020-03-10,2021-03-10,0.04661991884001977,0.049986542086658134,0.2909430321630428,0.05824677395365489,0.061860245397904086,0.37066929796716735,0.05592262541907524,0.062088626174025024,0.36874830914253176
45,2013-03-08,2020-03-09,2020-03-10,2021-03-10,0.04661991884001977,0.049986542086658134,0.2909430321630428,0.05824677395365489,0.061860245397904086,0.37066929796716735,0.05783638759137435,0.0639209953743469,0.3814039460230425
46,2013-03-11,2020-03-11,2020-03-12,2021-03-12,0.0851515024685527,0.09716983802853545,0.5461171396730103,0.09545591578057953,0.10699104426871599,0.6230976656461249,0.09399694091272046,0.11075479142390168,0.6310364436551232
47,2013-03-12,2020-03-12,2020-03-13,2021-03-15,0.07141561064284281,0.07839743223294503,0.4212888056873212,0.08594171854529692,0.09413880157846255,0.5313593437382662,0.08327772098720819,0.09494555798358753,0.532802392000723
48,2013-03-13,2020-03-13,2020-03-16,2021-03-16,0.11071585411708637,0.15065951444198974,0.6259710955000144,0.12528266550144604,0.1690004935760209,0.7442008867050927,0.1196869263528196,0.16543923678238834,0.7403578054098
49,2013-03-14,2020-03-16,2020-03-17,2021-03-17,0.10208879419063617,0.13674516316469654,0.5545877013914237,0.11618890997852499,0.15417045887969646,0.661101095808002,0.11218251770291132,0.15514058461315364,0.6980341742491423
50,2013-03-15,2020-03-16,2020-03-17,2021-03-17,0.10208879419063617,0.13674516316469654,0.5545877013914237,0.11618890997852499,0.15417045887969646,0.661101095808002,0.11116268661402025,0.1508641942911496,0.6531542614934814
51,2013-03-18,2020-03-18,2020-03-19,2021-03-19,0.11575575830295605,0.1655312345757288,0.6243173680053586,0.12761916398437478,0.18005859909536642,0.7155509230773498,0.12584373730312265,0.1832844554331858,0.7402452568290074
52,2013-03-19,2020-03-19,2020-03-20,2021-03-22,0.12983494742388382,0.1904295744921234,0.7070633441030009,0.14481432999547908,0.21264591716105816,0.819800392374279,0.1404379760776741,0.21201669935653605,0.8416199851215583
53,2013-03-20,2020-03-20,2020-03-23,2021-03-23,0.13599360837277658,0.20130316485815739,0.743936801375933,0.15219626107024942,0.22676342913911351,0.8653550969039179,0.14589691305429406,0.22454195975264352,0.8857459896444085
54,2013-03-21,2020-03-23,2020-03-24,2021-03-24,0.12026745052991387,0.1624129045274219,0.5658150797185979,0.13761976882555715,0.18922246352494781,0.681061482709887,0.13196373959243074,0.19002276229899628,0.6829333687465068
55,2013-03-22,2020-03-23,2020-03-24,2021-03-24,0.12026745052991387,0.1624129045274219,0.5658150797185979,0.13761976882555715,0.18922246352494781,0.681061482709887,0.13076520278254208,0.18891525051700164,0.6883655054325521
56,2013-03-25,2020-03-25,2020-03-26,2021-03-26,0.10658068343120808,0.13868002339041066,0.46650539707800776,0.12618673422965715,0.16784475365705434,0.5852506155065247,0.12026811468242599,0.16664279207651472,0.5929716077717853
