Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2013-01-16,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,0.01158871598183967,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,0.01049666286610572,-0.010811416974302797,-0.014124851853179785,-0.02989131242301251,0.011082360322475726
2013-01-17,2018-01-17,2018-01-18,2019-01-18,-0.017662888732993386,-0.02205369820342359,-0.05040627592922186,0.011619970215789198,-0.01339190216868429,-0.017003174076586677,-0.03490145267624617,0.010526694685634694,-0.007867739459818526,-0.010426553158056047,-0.021412653017942564,0.011255799281428941
2013-01-18,2018-01-18,2018-01-19,2019-01-22,-0.022521533856562765,-0.028286781805739583,-0.06394822395344094,0.01164396849725197,-0.021357734623839747,-0.027245428389733112,-0.05519177333061635,0.010548445519268177,-0.017268504227519643,-0.02288558913293044,-0.04878967147782728,0.011257537739111543
2013-01-22,2018-01-22,2018-01-23,2019-01-23,-0.021990419705452232,-0.02767840988548349,-0.062386144195184255,0.011670616826220885,-0.02287816195067312,-0.029234759364832975,-0.05887271399672381,0.010566432979857822,-0.01382265902705097,-0.018054638986864685,-0.03742543821795,0.011195867054396784
2013-01-23,2018-01-23,2018-01-24,2019-01-24,-0.02284000138932282,-0.02877037751299097,-0.06471397212353021,0.011670111190629082,-0.021250903194307048,-0.027165711445211765,-0.054822523240517285,0.010570455436811456,-0.014636655470336235,-0.01932365955978788,-0.041220133565606956,0.01131530942301744
2013-01-24,2018-01-24,2018-01-25,2019-01-25,-0.0221070083301323,-0.02785862164293271,-0.062728870367942,0.011674954846285297,-0.016839819676053695,-0.02149980984756378,-0.04374892786009743,0.010583616053197834,-0.010457963045712964,-0.01356233082833056,-0.028328900737441945,0.011223793703243652
2013-01-25,2018-01-25,2018-01-26,2019-01-28,-0.027888916403986087,-0.035290250239143235,-0.07846537610447384,0.011673364501418256,-0.020679452305475993,-0.026432439685760836,-0.05340145166243879,0.010573113458221923,-0.016011731256726735,-0.021009241155312705,-0.04449640618445553,0.01139934135430764
2013-01-28,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,0.011689875185773633,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,0.010578446691091505,-0.00676177977869403,-0.008711348520492108,-0.018340704856598725,0.011281448091807032
2013-01-29,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,0.011689875185773633,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,0.010578446691091505,-0.0063361806384738826,-0.008512801789320052,-0.01901202717240765,0.011449820956509212
2013-01-30,2018-01-30,2018-01-31,2019-01-31,-0.015325982379709703,-0.019291302465376376,-0.04396739945541274,0.0116884198085353,-0.004460342433611366,-0.005658063269923133,-0.011790783603504145,0.01059433617398959,-0.004268461053987912,-0.005663512399007424,-0.012292197634059462,0.01116070247362095
2013-01-31,2018-01-31,2018-02-01,2019-02-01,-0.014936532506710053,-0.018802452183878514,-0.04287748527029007,0.011689266974369414,-0.0023369985106423785,-0.0029573721677939716,-0.006195249389923527,0.010594376517403538,0.001333686744813048,0.001539590169456814,0.003623044982777614,0.011433234481380108
2013-02-01,2018-02-01,2018-02-02,2019-02-04,-0.0038156137279131276,-0.004807333328200037,-0.011033745851678906,0.011584889301323021,0.007259710141914733,0.009158728865886647,0.019377938675482913,0.010532714053367124,0.010500899057627395,0.013392000406422239,0.029640831709986527,0.011299243195525556
2013-02-04,2018-02-05,2018-02-06,2019-02-06,0.006810016798641985,0.008896928429893071,0.019168131804896116,0.011107809969489535,0.01770601664475484,0.022950694337590016,0.04650866093252238,0.010228935433916808,0.020517792158226716,0.026747358512587038,0.057506174336007486,0.0110900044786609
2013-02-05,2018-02-05,2018-02-06,2019-02-06,0.006810016798641985,0.008896928429893071,0.019168131804896116,0.011107809969489535,0.01770601664475484,0.022950694337590016,0.04650866093252238,0.010228935433916808,0.019386743170770375,0.025111064507772084,0.0541657428814553,0.010891383166421601
2013-02-06,2018-02-06,2018-02-07,2019-02-07,0.003952478352241783,0.005189238673289417,0.011094516882372025,0.01112159544742538,0.017427669842102828,0.022603374427517677,0.045765324430069046,0.010229870736831584,0.01705001106063035,0.02210305745293531,0.047082244438485035,0.010973829287754786
