Start,End,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,scaled,metric,portfolio,sharpe,sortino,return,silhouette,db,ch,min_mult,p25_mult,p50_mult,p75_mult,max_mult,mean_mult,min_preturn,p25_preturn,p50_preturn,p75_preturn,max_preturn,mean_preturn,k,volatility,mean_return
2013-01-22,2018-01-22,2019-01-23,-0.0219904197054522,-0.0276784098854834,-0.0623861441951842,-0.0228781619506731,-0.0292347593648329,-0.0588727139967238,-0.0156800246829263,-0.0204445211186324,-0.0435066497812942,True,Daily Log Returns,"['VRTX', 'NOC', 'BR', 'NEM', 'BLDR', 'INCY', 'DXCM', 'PNC', 'ATO', 'NFLX', 'MU', 'UNH', 'ENPH', 'LMT', 'META', 'WM', 'FANG', 'SMCI', 'MGM', 'NVDA', 'LULU', 'FCX', 'EXR', 'LUV', 'FSLR', 'DHI', 'AMD', 'AXON', 'TSLA', 'PANW']",0.014889051015742465,0.018966570828215887,0.0030910702597183,-0.0036187018420927,1.7638809320212194,6.932966471313559,-33.06073766161287,-0.0481699557676626,0.270981539444516,0.7049312281398241,15.889510680148875,0.1840545681712021,-0.162863639899783,-0.054513471794004,-0.0316137021782052,-0.0059934492293449,0.0276186942050453,-0.0325050748153242,30,0.20811257531151695,0.0030985987508307215
2013-01-23,2018-01-23,2019-01-24,-0.0228400013893228,-0.0287703775129909,-0.0647139721235302,-0.021250903194307,-0.0271657114452117,-0.0548225232405172,-0.0196133171516112,-0.025752020488871,-0.0541540716197386,True,Daily Log Returns,"['LULU', 'NEE', 'BLDR', 'EXR', 'INCY', 'FCX', 'FSLR', 'MGM', 'BBY', 'NVDA', 'FANG', 'MU', 'LMT', 'NOC', 'SMCI', 'AMD', 'NFLX', 'PANW', 'DXCM', 'DHI', 'VRTX', 'ENPH', 'LUV', 'WM', 'NEM', 'META', 'AXON', 'PNC', 'TSLA', 'UNH']",-0.017194294996726173,-0.021875040447247418,-0.0036292862003572,-0.0065029000191067,1.7152080116144692,6.877538316122601,-10.044855029222148,-0.0124641581500779,0.2832452185277559,0.7201118985276005,118.67476558363178,0.7678131548143382,-0.1630049403081736,-0.0561183675841483,-0.0334769216419534,-0.0062308475077612,0.027445242246581,-0.0334101156339487,30,0.21230144347717564,-0.0036503736473773455
2013-01-24,2018-01-24,2019-01-25,-0.0221070083301323,-0.0278586216429327,-0.062728870367942,-0.0168398196760536,-0.0214998098475637,-0.0437489278600974,-0.013086287473142,-0.0171173693575516,-0.0361222457282858,True,Daily Log Returns,"['LULU', 'ATO', 'BLDR', 'EXR', 'INCY', 'FCX', 'FSLR', 'MGM', 'BBY', 'LUV', 'FANG', 'MU', 'LMT', 'NOC', 'SMCI', 'AMD', 'DXCM', 'PANW', 'NFLX', 'DHI', 'VRTX', 'ENPH', 'NVDA', 'WM', 'NEM', 'META', 'AXON', 'PNC', 'TSLA', 'UNH']",0.04422911720688544,0.05630703975240457,0.0092933122446597,-0.0065922419104874,1.7158945954301004,6.85804074848708,-4.311205771631151,0.0868201974440036,0.3678612627828815,0.8289567005921128,72.57086824192086,1.0557247772920668,-0.1603568740604169,-0.0548291369136128,-0.0317561925747938,-0.0044803026755057,0.0306958505218714,-0.0324443440740459,30,0.2099804350322174,0.009287249272192736
2013-01-25,2018-01-25,2019-01-28,-0.027888916403986,-0.0352902502391432,-0.0784653761044738,-0.0206794523054759,-0.0264324396857608,-0.0534014516624387,-0.0158352487965247,-0.0207067192955636,-0.0436283449314497,True,Daily Log Returns,"['LULU', 'AWK', 'BLDR', 'EXR', 'INCY', 'FCX', 'FSLR', 'MGM', 'BBY', 'LUV', 'FANG', 'MU', 'LMT', 'NOC', 'NFLX', 'AMD', 'DXCM', 'PANW', 'META', 'DHI', 'VRTX', 'ENPH', 'NVDA', 'WM', 'NEM', 'SMCI', 'AXON', 'PNC', 'TSLA', 'UNH']",-0.06206709482009833,-0.07916953969937034,-0.0128831311657023,-0.0064694871418729,1.714096166934754,6.859897774010855,-0.8635937756458414,0.0887453079410987,0.3430673858859998,0.7214060806406437,14.06478332600519,0.5975835328860662,-0.166586777537974,-0.0617965545924098,-0.0396205758588056,-0.0119401637930693,0.0230483923755494,-0.0400594460492655,30,0.2097488075894375,-0.013018499129056178
2013-01-29,2018-01-29,2019-01-30,-0.0141708362788304,-0.0178275457405949,-0.0407269127777767,-0.0083020174008548,-0.0105255698015796,-0.0218022534742855,-0.0098788029552239,-0.0129164646438498,-0.0284248046840736,True,Daily Log Returns,"['VRTX', 'INCY', 'MU', 'BR', 'BLDR', 'NEM', 'DXCM', 'BBY', 'AMZN', 'NOC', 'ENPH', 'EXR', 'WM', 'PNC', 'NFLX', 'PANW', 'FCX', 'MGM', 'LUV', 'FANG', 'AMD', 'SMCI', 'LULU', 'NEE', 'AXON', 'DHI', 'FSLR', 'NVDA', 'TSLA', 'UNH']",0.2339243807617086,0.3040057903454674,0.0523025263698142,-0.0064590716985991,1.7112556628454931,6.863418606482095,-5.040485467187019,0.0752501679029393,0.4058324272452801,0.9511310999226597,55.60407899979827,1.3366436577213066,-0.152158106574847,-0.0455999347666779,-0.0224092943016552,0.0052349610102087,0.0407601687610213,-0.0232770799064409,30,0.21880470750578052,0.051183755711036484
2013-01-30,2018-01-30,2019-01-31,-0.0153259823797097,-0.0192913024653763,-0.0439673994554127,-0.0044603424336113,-0.0056580632699231,-0.0117907836035041,-0.0014775583921078,-0.0021571010564582,-0.004584991194168,True,Daily Log Returns,"['VRTX', 'INCY', 'MU', 'LMT', 'BLDR', 'NEM', 'DXCM', 'BBY', 'AMZN', 'NOC', 'ENPH', 'EXR', 'WM', 'PNC', 'NFLX', 'PANW', 'FCX', 'MGM', 'LUV', 'NEE', 'AMD', 'FANG', 'SMCI', 'LULU', 'AXON', 'DHI', 'FSLR', 'NVDA', 'UNH', 'TSLA']",0.14788422577884416,0.18729236016826856,0.0320584970869306,-0.0065183387890428,1.7093481051967097,6.862825672428802,-9.140033772033886,0.135213217796131,0.4497183491740393,1.0098872573306847,272.9566286199412,2.691879034565413,-0.1512304803181141,-0.0443927349800083,-0.0224243133745251,0.0063002054841258,0.0418988674582562,-0.0223188077123669,30,0.21422884713011806,0.03168106719733187
2013-01-31,2018-01-31,2019-02-01,-0.01493653250671,-0.0188024521838785,-0.04287748527029,-0.0023369985106423,-0.0029573721677939,-0.0061952493899235,-0.0001946827474404,-0.000359309472843,-6.690604268450681e-05,True,Daily Log Returns,"['VRTX', 'INCY', 'MU', 'LMT', 'BLDR', 'NEM', 'DXCM', 'BBY', 'AMZN', 'NOC', 'ENPH', 'EXR', 'STZ', 'PNC', 'NFLX', 'PANW', 'FCX', 'MGM', 'LUV', 'NEE', 'AMD', 'FANG', 'SMCI', 'LULU', 'AXON', 'DHI', 'FSLR', 'NVDA', 'TSLA', 'UNH']",0.04605295067758143,0.058161421270558226,0.0097233041091193,-0.006458989736699,1.7095394456961135,6.868070376905073,-52.42411204074455,0.2178056284736843,0.5156618067223878,1.0930239897863514,34.41196879391683,0.9030289382217817,-0.1486034886363665,-0.0413644848529856,-0.0204356034531788,0.0089867594052393,0.0451236058525625,-0.0197915115892864,30,0.21095039499391255,0.009714888136070975
2013-02-01,2018-02-01,2019-02-04,-0.0038156137279131,-0.0048073333282,-0.0110337458516789,0.0072597101419147,0.0091587288658866,0.0193779386754829,0.0087738005699309,0.0110967626389391,0.0252826498529437,True,Daily Log Returns,"['VRTX', 'INCY', 'MU', 'LMT', 'BLDR', 'NEM', 'DXCM', 'BBY', 'META', 'NOC', 'ENPH', 'EXR', 'STZ', 'PNC', 'NFLX', 'PANW', 'FCX', 'LULU', 'LUV', 'NEE', 'AMD', 'FANG', 'NVDA', 'TSLA', 'SMCI', 'MGM', 'FSLR', 'AXON', 'DHI', 'UNH']",0.11851600105544847,0.15010082413223264,0.0249667238134672,-0.0066639792552523,1.7155116659641398,6.881353141867581,-4.892474303202905,0.1660207761807975,0.6332437437176863,1.5310679741450612,157.54346010111922,2.302536351623579,-0.1319312825369382,-0.022692391904239,0.0009909882162235,0.0290821920590466,0.0654288177088101,0.0003377613600882,30,0.20890339591480606,0.024758395090725926
2013-02-04,2018-02-05,2019-02-06,0.0068100167986419,0.008896928429893,0.0191681318048961,0.0177060166447548,0.02295069433759,0.0465086609325223,0.0188048953646438,0.024462736038798,0.0527656534891222,True,Daily Log Returns,"['NOC', 'BLDR', 'META', 'LMT', 'UNH', 'AXON', 'NEM', 'PNC', 'MGM', 'LUV', 'DXCM', 'NEE', 'PANW', 'MU', 'LULU', 'AMD', 'STZ', 'EXR', 'DHI', 'VRTX', 'SMCI', 'TFX', 'NFLX', 'FANG', 'ENPH', 'NVDA', 'FCX', 'INCY', 'TSLA', 'FSLR']",0.22938238563710628,0.2969331601456149,0.0470723139766807,-0.0036843698254609,1.7557006992760285,6.918770968288328,-9.805155649748649,0.2423463017602742,0.9400289609988172,2.44667188038239,202.04293502770423,3.527007010156193,-0.1114228574329196,0.0011832200464918,0.0250348436434074,0.05332123629246,0.0905999437637863,0.0242866460220905,30,0.20132869452443236,0.04618125624721851
2013-02-06,2018-02-06,2019-02-07,0.0039524783522417,0.0051892386732894,0.011094516882372,0.0174276698421028,0.0226033744275176,0.045765324430069,0.0171870743033776,0.0223521847100832,0.048197313017558,True,Daily Log Returns,"['PNC', 'NEE', 'EXR', 'LMT', 'FANG', 'AXON', 'ENPH', 'SMCI', 'MU', 'LUV', 'DXCM', 'MGM', 'BLDR', 'NOC', 'LULU', 'NVDA', 'UNH', 'TFX', 'NEM', 'STZ', 'DHI', 'VLO', 'NFLX', 'VRTX', 'META', 'AMD', 'INCY', 'TSLA', 'FCX', 'FSLR']",0.14646765838722284,0.19059409291580204,0.0297318826988724,0.001316546110207,1.7618142383162056,6.931538100522907,-17.370138538768458,0.3087024920423758,1.0372084470394842,2.8171734166783367,620.8711132229515,7.319024539827249,-0.1089554475245656,0.0044136197028785,0.0275357109778588,0.056180757883181,0.0936283326097102,0.0269594482691965,30,0.20083059668954176,0.02941518722962593
